id,id_str,screen_name,location,description,followers_count,friends_count,listedcount,favourites_count,verified,statuses_count,lang,default_profile,default_profile_image,has_extended_profile,bot
8.16E+17,"""815745789754417152""","""HoustonPokeMap""","""Houston, TX""","""Rare and strong PokŽmon in Houston, TX. See more PokŽmon at https://t.co/dnWuDbFRkt""",1291,0,10,0,FALSE,78554,"""en""",TRUE,FALSE,FALSE,1
4843621225,4843621225,kernyeahx,"Templeville town, MD, USA","From late 2014 Socium Marketplace will make shopping for fundamental business services more simple, more cost effective and more about you.",1,349,0,38,FALSE,31,en,TRUE,FALSE,FALSE,1
4303727112,4303727112,mattlieberisbot,,"Inspired by the smart, funny folks at @replyall and @gimletmedia _Ñ¢ Tweets Monday, Wednesday and Friday _Ñ¢ A bot by @ashur",1086,0,14,0,FALSE,713,en,TRUE,FALSE,FALSE,1
3063139353,3063139353,sc_papers,,,33,0,8,0,FALSE,676,en,TRUE,TRUE,FALSE,1
2955142070,2955142070,lucarivera16,"Dublin, United States",Inspiring cooks everywhere since 1956.,11,745,0,146,FALSE,185,en,FALSE,FALSE,FALSE,1
8.41E+17,8.41E+17,dantheimprover,"Austin, TX","Just a guy trying to do good by telling everyone else to get better,",1,186,0,0,FALSE,11,en,TRUE,FALSE,TRUE,1
2482834658,2482834658,_all_of_us_,in a machine.,bot by @rubicon,193,0,19,0,FALSE,6068,en,FALSE,FALSE,FALSE,1
3333573622,3333573622,KatamariItems,,[Bot rolled up by @BeachEpisode] Cataloguing every item from the Katamari series one at a time. ''Human beings are such hoarders'' - Keita Takahashi,8227,2,89,26,FALSE,2597,en,TRUE,FALSE,FALSE,1
2996105102,2996105102,AutophagyPapers,,Twitterbot for #Autophagy papers. Curated by @SoniaHall,275,0,17,23,FALSE,9922,en,FALSE,FALSE,FALSE,1
3271095818,3271095818,HSC_papers,,,51,3,9,0,FALSE,2515,en,TRUE,FALSE,FALSE,1
2717905134,2717905134,everycheese,cheese land,"cheese cheese cheese // updates every 4 hours // by @thricedotted, with inspiration from cheese and @mattlaschneider",51,1,12,0,FALSE,111,en,FALSE,FALSE,FALSE,1
2826073429,2826073429,gyr_papers,,"Literature bot searching arXiv, biorXiv, PeerJ & PubMed for supercoiling papers. Maintained by @red_gravel.",2,1,4,0,FALSE,230,en,TRUE,TRUE,FALSE,1
8.1E+17,8.1E+17,lavon_court,,,0,29,0,0,FALSE,0,en,TRUE,TRUE,,1
1027583707,1027583707,AjstyleAlen,,,1,206,0,0,FALSE,0,en,TRUE,TRUE,,1
394991274,394991274,Rupesh93505,,,0,38,0,0,FALSE,0,en,TRUE,TRUE,,1
3032363298,3032363298,hard_to_yelp,,,109,0,16,0,FALSE,16067,en,TRUE,FALSE,FALSE,1
2568851552,2568851552,fuckeverywordza,,"Why wait until 2020 for the Z's? Fucking every word in the English language backwards, from Z to A.",250,0,25,0,FALSE,31721,en,TRUE,FALSE,FALSE,1
2954704090,2954704090,yeahTonyaGonzal,"Pensacola, USA","Musician, vegan, animal rights activist.",15,1941,1,319,FALSE,406,en,FALSE,FALSE,FALSE,1
8.39E+17,8.39E+17,BbbbggU,"_._______________, _________",_______ XXX,190,1899,0,27,FALSE,0,th,TRUE,TRUE,FALSE,1
2835723644,2835723644,ecin_gnihtaseod,,"straight-up rip-off of @doesathing_nice, except it's a bot // reports to @thricedotted",181,0,24,0,FALSE,21506,en,TRUE,TRUE,FALSE,1
1918202534,1918202534,tofu_product,,Follow me to chat. // Reflecting your personality back at you since 2013. // By @zhaytee,10175,11465,199,328,FALSE,65022,en,TRUE,FALSE,FALSE,1
2475875424,2475875424,onetruewiseman,AMERICA,The Truest Wisdom (aka trying to make even less sense) from leading Republican presidential candidates for 2016.,23,4,8,4,FALSE,6230,en,FALSE,FALSE,FALSE,1
1909219404,1909219404,everycolorbot,the RGB color space,colors.  all of 'em. | developed by @vogon; feel free to send him feedback/feature requests,106126,0,999,2,FALSE,30156,en,TRUE,FALSE,FALSE,1
